old_schema,old_table,entity_java,helper_or_service,api_action,classification,target_table,target_schema_strategy,migration_strategy,notes
koperasi,pembelian,ais.database.model.koperasi.Pembelian,SalesInventoryApiDispatcher;PosApi,si_inventory_ledger;si_gross_profit_report;si_profit_loss_report;si_purchase_report;si_price_analysis,TENANT_OWNED,pembelian,tenant_schema,copy_per_tenant,Tabel terpanas: 41 rujukan SQL. Inti transaksi penjualan POS.
koperasi,produk,ais.database.model.koperasi.Produk,SalesInventoryApiDispatcher;PosApi,si_inventory_balance;si_inventory_ledger;si_customer_price_list;si_import_legacy,TENANT_OWNED,produk,tenant_schema,copy_per_tenant,22 rujukan. Master barang; sumber impor STOK.DBF.
koperasi,pembelian_anggota_koperasi,ais.database.model.koperasi.PembelianAnggotaKoperasi,SalesInventoryApiDispatcher;PosApi,si_receivable_aging_customer;si_receivable_aging_sales;si_collection_create,TENANT_OWNED,pembelian_anggota_koperasi,tenant_schema,copy_per_tenant,21 rujukan. Piutang anggota; sumber impor Tran_Piut.DBF.
koperasi,cara_pembayaran_koperasi,ais.database.model.koperasi.CaraPembayaranKoperasi,SalesInventoryApiDispatcher;PosApi,si_cash_journal_list;si_collection_receipt,TENANT_OWNED,cara_pembayaran_koperasi,tenant_schema,copy_per_tenant,13 rujukan; juga diakses lewat Criteria.
koperasi,toko,ais.database.model.koperasi.Toko,SalesInventoryApiDispatcher;PosApi,si_actor_context;seluruh aksi ber-tokoId,CONTROL_PLANE,toko,shared_control_plane,stay,"KUNCI PENENTU TENANT. Toko.pendaftar nullable (baris Kantin/Koperasi lama null - 01-source-audit:62). Bila dipindah ke skema tenant, control plane kehilangan kemampuan mendaftar outlet. Harus tetap bersama atau direplikasi."
koperasi,sesi_kas_kasir,ais.database.model.koperasi.SesiKasKasir,PosApi,si_cash_journal_list;si_cash_journal_,TENANT_OWNED,sesi_kas_kasir,tenant_schema,copy_per_tenant,5 rujukan. Sesi kas kasir.
koperasi,pemakaian_bahan_baku,ais.database.model.koperasi.PemakaianBahanBaku,PosApi,si_inventory_ledger,TENANT_OWNED,pemakaian_bahan_baku,tenant_schema,copy_per_tenant,3 rujukan.
koperasi,transaksi_backup_ack,ais.database.model.koperasi.TransaksiBackupAck,PosApi,si_collection_bg_status;si_payable_bg_status,TENANT_OWNED,transaksi_backup_ack,tenant_schema,copy_per_tenant,2 rujukan. Ack cadangan transaksi POS.
koperasi,anggota_koperasi,ais.database.model.koperasi.AnggotaKoperasi,SalesInventoryApiDispatcher;PosApi,si_customer_list;si_customer_create;si_customer_update;si_customer_detail;si_customer_deactivate,TENANT_OWNED,anggota_koperasi,tenant_schema,copy_per_tenant,Sumber impor CUSTOMER.DBF (334 baris). Juga lewat Criteria.
koperasi,survey_kepuasan_pos,ais.database.model.koperasi.SurveyKepuasanPos,PosApi,si_print_log_list,TENANT_OWNED,survey_kepuasan_pos,tenant_schema,copy_per_tenant,1 rujukan.
